machine_id,time_stamp,cpu_util,memory_util
079,172830,12.0,90
079,172950,28.0,91
079,173280,30.0,93
079,173310,34.0,93
079,173330,26.0,92
079,173460,20.0,89
079,173720,22.0,90
079,173780,36.0,90
079,173790,31.0,90
079,173800,31.0,90
079,173830,24.0,90
079,173870,26.0,90
079,173990,30.0,92
079,174140,34.0,92
079,174280,24.0,91
079,174340,24.0,92
079,174360,24.0,92
079,174430,27.0,93
079,174450,33.0,93
079,174530,56.0,94
079,174560,51.0,91
079,174660,37.0,93
079,174720,37.0,93
079,174780,36.0,93
079,174820,35.0,93
079,174920,28.0,87
079,174940,27.0,85
079,174960,27.0,85
079,175120,35.0,87
079,175130,32.0,86
079,175140,34.0,86
079,175240,31.0,87
079,175460,25.0,88
079,175490,21.0,87
079,175730,24.0,89
079,175780,19.0,87
079,175810,19.0,85
079,175890,21.0,86
079,176190,19.0,85
079,176390,18.0,86
079,176470,27.0,89
079,176600,33.0,91
079,176700,27.0,91
079,176760,22.0,90
079,176830,21.0,90
079,176840,25.0,90
079,176880,25.0,90
079,177100,23.0,89
079,177210,21.0,88
079,177310,25.0,88
079,177400,29.0,90
079,177510,37.0,92
079,177520,33.0,93
079,177530,41.0,91
079,177690,42.0,93
079,177710,39.0,94
079,177830,34.0,93
079,177940,35.0,90
079,177980,27.0,91
079,178060,27.0,91
079,178130,26.0,91
079,178210,33.0,92
079,178250,30.0,93
079,178340,27.0,92
079,178400,35.0,94
079,178490,29.0,91
079,178690,32.0,91
079,178770,37.0,90
079,178810,32.0,89
079,178940,28.0,90
079,179030,29.0,89
079,179150,27.0,90
079,179210,25.0,89
079,179420,25.0,87
079,179450,24.0,87
079,179480,25.0,86
079,179490,28.0,86
079,179580,21.0,86
079,179790,22.0,86
079,179820,21.0,86
079,179950,31.0,88
079,179970,29.0,89
079,180010,33.0,89
079,180040,37.0,89
079,180220,23.0,87
079,180260,26.0,87
079,180360,29.0,87
079,180430,43.0,87
079,180510,35.0,90
079,180730,41.0,92
079,180750,38.0,92
079,180780,30.0,91
079,180810,34.0,90
079,180860,30.0,89
079,181150,34.0,85
079,181430,29.0,87
079,181540,36.0,88
079,181670,23.0,87
079,181710,32.0,85
079,181870,28.0,87
079,182010,31.0,89
079,182050,29.0,89
079,182080,30.0,90
079,182110,27.0,89
079,182120,30.0,89
079,182280,27.0,88
079,182600,38.0,88
079,182630,26.0,87
079,182670,28.0,88
079,182730,31.0,88
079,182910,18.0,86
079,182990,21.0,86
079,183020,20.0,86
079,183030,19.0,85
079,183090,23.0,87
079,183120,19.0,86
079,183250,24.0,87
079,183270,21.0,87
079,183320,27.0,87
079,183420,26.0,88
079,183490,22.0,86
079,183500,22.0,86
079,183550,26.0,87
079,183600,30.0,89
079,183640,33.0,90
079,183670,30.0,90
079,183690,27.0,90
079,183720,27.0,90
079,183850,38.0,92
079,183880,31.0,92
079,183900,29.0,92
079,183940,29.0,94
079,184070,37.0,93
079,184170,25.0,89
079,184240,25.0,88
079,184330,27.0,88
079,184410,28.0,88
079,184480,26.0,87
079,184500,19.0,85
079,184580,33.0,87
079,184610,31.0,87
079,184620,32.0,87
079,184690,26.0,86
079,185290,27.0,86
079,185300,24.0,86
079,185320,20.0,86
079,185340,19.0,85
079,185350,20.0,85
079,185460,18.0,87
079,185570,24.0,88
079,185610,21.0,88
079,185670,23.0,87
079,185830,28.0,88
079,186020,31.0,90
079,186080,26.0,89
079,186110,22.0,88
079,186190,31.0,88
079,186340,20.0,87
079,186440,15.0,85
079,186550,31.0,90
079,186660,31.0,88
079,186680,27.0,88
079,186770,22.0,88
079,187050,26.0,92
079,187130,38.0,93
079,187210,26.0,89
079,187240,28.0,90
079,187280,29.0,89
079,187340,28.0,90
079,187350,24.0,90
079,187420,23.0,89
079,187430,23.0,88
079,187440,25.0,88
079,187460,31.0,89
079,187470,28.0,89
079,187580,26.0,89
079,187630,31.0,90
079,187870,36.0,93
079,188290,40.0,93
079,188420,29.0,92
079,188640,32.0,92
079,188780,38.0,91
079,189030,31.0,92
079,189060,30.0,92
079,189170,28.0,91
079,189250,28.0,91
079,189370,52.0,91
079,189710,34.0,92
079,189850,31.0,91
079,189870,28.0,90
079,189910,38.0,90
079,189930,34.0,89
079,189960,29.0,91
079,189980,30.0,91
079,190010,34.0,90
079,190030,31.0,90
079,190140,30.0,91
079,190370,28.0,91
079,190430,22.0,90
079,190540,29.0,88
079,190580,22.0,89
079,190620,22.0,89
079,190660,21.0,89
079,190670,23.0,89
079,190810,26.0,90
079,190980,54.0,93
079,191050,47.0,92
079,191540,25.0,88
079,191550,26.0,88
079,191640,36.0,90
079,191710,43.0,90
079,191850,28.0,87
079,191900,26.0,87
079,191910,25.0,86
079,191920,24.0,86
079,191950,26.0,86
079,192010,25.0,86
079,192020,28.0,86
079,192290,33.0,91
079,192320,37.0,89
079,192380,32.0,90
079,192390,34.0,90
079,192500,31.0,92
079,192590,25.0,89
079,192630,30.0,90
079,192660,28.0,89
079,192970,42.0,92
079,193000,40.0,92
079,193100,43.0,92
079,193210,43.0,93
079,193290,39.0,91
079,193330,34.0,86
079,193390,45.0,87
079,193830,40.0,91
079,193900,45.0,92
079,194120,44.0,91
079,194280,47.0,92
079,194860,53.0,94
079,195200,50.0,93
079,195280,54.0,94
079,195300,46.0,91
079,195360,47.0,89
079,195430,52.0,89
079,195470,40.0,89
079,195530,42.0,88
079,195550,46.0,89
079,195620,46.0,92
079,195650,55.0,91
079,195780,60.0,93
079,196010,73.0,92
079,196030,77.0,93
079,196050,84.0,93
079,196080,78.0,93
079,196100,79.0,93
079,196440,74.0,91
079,196500,71.0,91
079,196580,53.0,89
079,196850,55.0,92
079,196960,67.0,95
079,196990,72.0,97
079,197000,74.0,97
079,197060,73.0,96
079,197070,67.0,95
079,197140,65.0,95
079,197150,64.0,95
079,197210,54.0,87
079,197340,57.0,84
079,197430,45.0,84
079,197570,46.0,80
079,197600,42.0,80
079,197610,41.0,81
079,197820,48.0,83
079,197960,64.0,85
079,198270,53.0,84
079,198280,53.0,84
079,198400,44.0,83
079,198420,47.0,85
079,198430,46.0,85
079,198510,40.0,81
079,198520,40.0,82
079,198530,40.0,82
079,198580,45.0,83
079,198610,42.0,82
079,198680,50.0,83
079,198760,41.0,84
079,198860,48.0,87
079,198900,47.0,84
079,198980,52.0,86
079,199040,47.0,85
079,199240,41.0,83
079,199250,44.0,85
079,199350,44.0,87
079,199430,45.0,85
079,199470,46.0,85
079,199610,49.0,87
079,199660,46.0,86
079,199670,43.0,86
079,199990,46.0,86
079,200000,44.0,86
079,200040,48.0,86
079,200070,47.0,87
079,200170,65.0,88
079,200230,53.0,89
079,200350,52.0,87
079,200380,45.0,85
079,200440,52.0,85
079,200470,48.0,85
079,200570,40.0,87
079,200740,37.0,81
079,200880,42.0,79
079,200900,46.0,81
079,200940,39.0,80
079,201030,47.0,80
079,201320,39.0,80
079,201440,52.0,83
079,201830,51.0,82
079,201890,42.0,79
079,201930,43.0,79
079,202060,50.0,80
079,202130,36.0,80
079,202150,42.0,80
079,202240,37.0,80
079,202310,41.0,80
079,202420,45.0,77
079,202560,40.0,79
079,202770,55.0,86
079,202870,46.0,88
079,202880,42.0,87
079,202930,49.0,90
079,202990,50.0,89
079,203040,43.0,87
079,203070,44.0,86
079,203110,41.0,84
079,203260,43.0,83
079,203430,59.0,86
079,203470,45.0,86
079,203520,40.0,85
079,203530,40.0,84
079,203590,47.0,85
079,203700,46.0,87
079,203760,52.0,87
079,203780,47.0,87
079,203810,46.0,86
079,203880,38.0,85
079,204110,58.0,89
079,204170,59.0,89
079,204310,49.0,89
079,204440,56.0,86
079,204520,46.0,83
079,204550,43.0,82
079,204600,41.0,83
079,204640,47.0,83
079,204690,33.0,82
079,204770,36.0,85
079,204980,57.0,86
079,204990,36.0,86
079,205160,61.0,89
079,205240,60.0,90
079,205260,60.0,90
079,205300,54.0,87
079,205310,56.0,88
079,205410,54.0,90
079,205510,50.0,85
079,205550,51.0,87
079,205560,51.0,88
079,205570,59.0,88
079,205600,53.0,88
079,205720,48.0,90
079,205920,30.0,82
079,206040,40.0,81
079,206070,47.0,80
079,206200,51.0,83
079,206210,43.0,81
079,206620,41.0,85
079,206670,42.0,85
079,206680,45.0,86
079,206700,43.0,86
079,206820,56.0,87
079,206830,59.0,88
079,206840,56.0,88
079,207060,55.0,88
079,207270,40.0,83
079,207310,34.0,83
079,207340,33.0,84
079,207660,53.0,88
079,207780,45.0,85
079,207790,47.0,86
079,207800,42.0,85
079,207890,35.0,87
079,207950,36.0,90
079,207990,29.0,88
079,208040,36.0,90
079,208250,35.0,83
079,208320,31.0,83
079,208530,42.0,86
079,208630,46.0,87
079,208710,47.0,88
079,208720,46.0,88
079,208830,49.0,90
079,208920,51.0,89
079,208960,48.0,90
079,209010,53.0,89
079,209020,52.0,89
079,209120,64.0,88
079,209130,60.0,88
079,209160,55.0,89
079,209270,42.0,87
079,209470,34.0,87
079,209530,36.0,86
079,209600,40.0,89
079,209660,48.0,86
079,210160,41.0,88
079,210580,27.0,88
079,210720,44.0,90
079,210740,46.0,90
079,210810,42.0,90
079,210830,41.0,89
079,210930,43.0,90
079,210990,53.0,91
079,211070,44.0,89
079,211080,42.0,88
079,211140,35.0,87
079,211160,41.0,87
079,211180,42.0,88
079,211200,42.0,89
079,211290,47.0,89
079,211440,36.0,89
079,211470,34.0,90
079,211630,35.0,89
079,211770,40.0,90
079,211830,57.0,92
079,211870,50.0,91
079,211940,43.0,92
079,211990,40.0,90
079,212230,45.0,89
079,212250,35.0,89
079,212330,36.0,88
079,212340,37.0,88
079,212350,39.0,89
079,212360,46.0,90
079,212470,41.0,90
079,212570,47.0,93
079,212690,61.0,93
079,212910,47.0,94
079,213000,59.0,94
079,213040,55.0,93
079,213150,39.0,87
079,213230,39.0,88
079,213310,39.0,87
079,213330,40.0,88
079,213470,40.0,86
079,213500,35.0,85
079,213530,37.0,86
079,213630,49.0,87
079,213760,39.0,86
079,213810,41.0,86
079,213900,42.0,87
079,213930,40.0,86
079,213940,38.0,87
079,213970,31.0,85
079,214100,43.0,87
079,214130,39.0,86
079,214190,49.0,88
079,214280,36.0,87
079,214360,49.0,87
079,214400,62.0,88
079,214470,38.0,86
079,214480,31.0,87
079,214530,37.0,88
079,214560,33.0,88
079,214600,35.0,86
079,214670,32.0,86
079,214800,29.0,85
079,214810,34.0,85
079,214950,40.0,88
079,214960,36.0,88
079,214980,33.0,88
079,215100,30.0,84
079,215110,35.0,84
079,215260,28.0,85
079,215310,35.0,85
079,215390,40.0,87
079,215400,40.0,87
079,215470,37.0,87
079,215540,38.0,87
079,215550,38.0,87
079,215570,37.0,87
079,215610,34.0,87
079,215740,32.0,86
079,215820,33.0,86
079,215890,41.0,88
079,216120,32.0,89
079,216190,37.0,89
079,216220,37.0,89
079,216330,74.0,87
079,216380,63.0,88
079,216390,64.0,88
079,216410,65.0,89
079,216460,50.0,88
079,216470,53.0,89
079,216530,56.0,87
079,216640,46.0,85
079,216750,48.0,86
079,216820,45.0,87
079,216850,50.0,88
079,216970,40.0,89
079,217170,32.0,86
079,217180,37.0,87
079,217270,39.0,90
079,217280,39.0,90
079,217410,40.0,90
079,217480,53.0,92
079,217500,51.0,92
079,217600,37.0,90
079,217620,37.0,88
079,217820,37.0,91
079,217870,38.0,90
079,217880,37.0,91
079,217980,26.0,87
079,218090,29.0,86
079,218230,43.0,88
079,218280,47.0,90
079,218300,35.0,88
079,218360,33.0,88
079,218410,37.0,89
079,218420,33.0,89
079,218450,33.0,88
079,218470,41.0,89
079,218530,31.0,86
079,218540,28.0,85
079,218580,31.0,86
079,218750,60.0,88
079,219040,35.0,88
079,219080,30.0,88
079,219190,35.0,88
079,219310,24.0,86
079,219370,20.0,86
079,219400,23.0,86
079,219440,34.0,87
079,219530,22.0,87
079,219760,20.0,85
079,219840,32.0,87
079,219920,26.0,86
079,219930,26.0,86
079,220120,25.0,86
079,220140,26.0,86
079,220150,26.0,86
079,220160,31.0,87
079,220230,29.0,87
079,220240,30.0,87
079,220290,29.0,88
079,220310,24.0,87
079,220450,54.0,89
079,220550,37.0,87
079,220720,26.0,87
079,220870,31.0,87
079,220980,33.0,88
079,221320,42.0,89
079,221410,28.0,89
079,221460,26.0,90
079,221550,38.0,89
079,221650,44.0,89
079,221690,47.0,90
079,222170,48.0,90
079,222220,49.0,90
079,222300,25.0,90
079,222460,23.0,88
079,222520,24.0,87
079,222640,27.0,88
079,222770,19.0,86
079,223120,29.0,87
079,223390,30.0,91
079,223480,29.0,90
079,223540,29.0,90
079,223610,51.0,90
079,223690,34.0,88
079,223730,23.0,89
079,223750,23.0,88
079,223840,27.0,91
079,224090,34.0,93
079,224120,34.0,94
079,224130,34.0,95
079,224150,44.0,92
079,224170,34.0,89
079,224350,25.0,84
079,224400,25.0,84
079,224440,30.0,84
079,224560,24.0,85
079,224710,31.0,86
079,224780,31.0,86
079,224870,30.0,85
079,224880,30.0,86
079,224890,29.0,85
079,224990,43.0,86
079,225010,58.0,86
079,225280,33.0,84
079,225310,33.0,85
079,225400,24.0,83
079,225430,28.0,81
079,225540,26.0,81
079,225610,28.0,82
079,225640,27.0,82
079,225660,27.0,82
079,225770,24.0,82
079,225810,23.0,82
079,225860,24.0,83
079,226150,22.0,79
079,226160,20.0,79
079,226350,21.0,80
079,226430,21.0,80
079,226500,41.0,82
079,226530,45.0,83
079,226690,29.0,84
079,226730,25.0,84
079,226920,33.0,86
079,227100,33.0,86
079,227260,28.0,83
079,227280,33.0,83
079,227400,38.0,86
079,227450,35.0,86
079,227540,29.0,86
079,227700,40.0,87
079,227800,35.0,87
079,228020,28.0,83
079,228050,33.0,84
079,228110,49.0,85
079,228210,30.0,84
079,228230,33.0,83
079,228340,20.0,81
079,228380,16.0,82
079,228520,11.0,81
079,228620,15.0,81
079,228790,17.0,82
079,228810,18.0,82
079,228920,16.0,83
079,229180,21.0,83
079,229390,20.0,82
079,229530,28.0,83
079,229590,23.0,84
079,229660,23.0,83
079,229780,24.0,84
079,229840,39.0,85
079,229900,26.0,83
079,229910,29.0,83
079,230050,19.0,83
079,230070,21.0,83
079,230090,24.0,84
079,230250,24.0,84
079,230400,21.0,83
079,230460,27.0,83
079,230700,36.0,85
079,230710,27.0,85
079,230830,25.0,86
079,231090,31.0,85
079,231140,25.0,86
079,231160,24.0,86
079,231510,21.0,86
079,231580,22.0,86
079,231590,21.0,87
079,231630,22.0,86
079,231920,28.0,88
079,231950,21.0,87
079,232240,21.0,85
079,232460,15.0,85
079,232610,16.0,85
079,233400,24.0,89
079,233410,29.0,90
079,233420,27.0,90
079,233460,28.0,91
079,233600,24.0,89
079,233630,20.0,89
079,233640,20.0,89
079,233760,28.0,89
079,233810,24.0,90
079,233820,23.0,91
079,234070,37.0,90
079,234150,30.0,90
079,234260,28.0,92
079,234330,34.0,92
079,234380,18.0,90
079,234440,21.0,90
079,234450,20.0,88
079,234480,25.0,88
079,234500,30.0,88
079,234510,32.0,89
079,234560,38.0,90
079,234640,40.0,91
079,234840,22.0,89
079,235120,23.0,90
079,235240,36.0,92
079,235400,29.0,93
079,235620,15.0,90
079,235730,27.0,89
079,235740,26.0,89
079,235780,27.0,88
079,235960,18.0,89
079,235980,19.0,89
079,236050,16.0,90
079,236110,23.0,90
079,236120,22.0,89
079,236170,12.0,88
079,236180,10.0,89
079,236300,19.0,89
079,236350,26.0,89
079,236360,27.0,90
079,236380,23.0,89
079,236490,13.0,89
079,236750,14.0,89
079,236800,19.0,90
079,236910,24.0,92
079,237020,24.0,91
079,237030,26.0,92
079,237060,24.0,91
079,237140,16.0,91
079,237160,18.0,91
079,237470,21.0,93
079,237570,24.0,94
079,237670,21.0,94
079,237700,19.0,94
079,237850,23.0,94
079,237860,24.0,93
079,237890,25.0,93
079,237910,20.0,94
079,237970,24.0,94
079,237980,20.0,94
079,238220,30.0,93
079,238230,26.0,93
079,238300,22.0,92
079,238320,19.0,93
079,238430,21.0,91
079,238530,20.0,91
079,238660,23.0,91
079,238690,21.0,92
079,239020,20.0,92
079,239260,16.0,93
079,239290,14.0,91
079,239380,17.0,93
079,239610,27.0,93
079,239870,17.0,91
